02/07/2011;;;;;;;;
Hipódromo Costa del Sol.;;;;;;;;
;;;;;;;;
1ª Carrera;;2200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;FETICHE VAL;4;3;62;J. GROSJEAN;LOS TONELES;F. RODRIGUEZ;7
2;NARIXA(GB);1;3;62;V. JANACEK;CRUCEÑA;J. C. MARTINEZ;4
3;GETXO (IRE);2;4;59,5;B. FAYOS;JIMENA;B. RAMA;3
4;YISHABEIR(FR);5;3;59;J. HORCAJADA;CIELO DE MADRID;O. RODRIGUEZ;1
5;DROP RISK(FR);7;8;58,5;J. E. JARCOVSKY;JOLAM;E. OLGADO;6
6;REY DE OROS(IRE);6;3;58;I. LOPEZ;LUCHANA;E. GALLARDO;2
7;OTRANTO;3;4;53,5;M. GOMES;COMANSI;J. C. FERNANDEZ;5
;;;;;;;;
2ª Carrera;;1100 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;BLADE RUNNER;7;2;56;J. L. MARTINEZ;RACHAEL TEASDALE RACING;J. L. EYRE;6
2;CALITXO;8;2;56;J. E. JARCOVSKY;M & K RACING;B. RAMA;7
3;DESEADO;4;2;56;J. GROSJEAN;SUREÑA;J. A. RODRIGUEZ;2
4;EL VIRGINIANO;5;2;56;O. ORTIZ DE URBINA;ENALTO;R. LOPEZ;4
5;MR. FEGON;99;2;56;I. LOPEZ;INSTAGONZA;O. ANAYA;5
6;OBLA DI;2;2;56;J. HORCAJADA;L. Y J. A. ALONSO;O. RODRIGUEZ;3
7;CAFFE LATTE;6;2;54,5;M. GOMES;Y. CORTIÑAL;J. C. FERNANDEZ;8
8;CANELA FINA;3;2;54,5;A. GOMEZ;SOÑADOR;J. SALGUERO;9
9;COCO PALM;1;2;54,5;B. FAYOS (55) (B.AM.);M & K RACING;B. RAMA;1
;;;;;;;;
3ª Carrera;;1200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;LAAZEM(IRE);4;4;65;SR. BENITEZ, D.(63);HNOS. GARCIA Y VEGA;O. ANAYA;5
2;GREDOS;2;3;62,5;I. LOPEZ;INSTAGONZA;O. ANAYA;2
3;EL PIPA HI;8;3;61,5;J. E. JARCOVSKY;TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;3
4;DELIRADA;7;3;60,5;M. S. SALOKANTO(B.B.);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;9
5;MORANTE;6;3;59,5;J. GROSJEAN;CELANOVA;J. A. RODRIGUEZ;1
6;NORTH EAST CORNER(USA);5;5;59;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;4
7;NON PLUS ULTRA(FR);3;4;55;J. HORCAJADA;CIELO DE MADRID;O. RODRIGUEZ;6
8;SHAHBANOU(GB);1;4;53;B. FAYOS (55);YANKEE RACING;B. RAMA;7
;;;;;;;;
4ª Carrera;;2200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;ELTZABURU;6;4;62;R. RAMOS;SALVADOR ELIZONDO TEKNICA;J. A. RODRIGUEZ;5
2;ZARIEVICH NUÑEZ(IRE);3;4;62;O. ORTIZ DE URBINA;LUIS ALBERTO NUÑEZ;J. A. RODRIGUEZ;6
3;SEMINOLE CRY(USA);1;6;61;F. LYNCH;CARRERAS INT.;J. L. EYRE;8
4;REY MAMBO(IRE);12;4;60;M. GOMES;EL PINO;E. GALLARDO;10
5;MENDAVIA;7;5;59;V. JANACEK;ASOC. DE LA CONCORDIA;G. ARIZKORRETA;2
6;FLECHE D'ARCIS(FR);10;3;58,5;I. LOPEZ;TALISMAN;J. A. RODRIGUEZ;4
7;ALFRED;9;5;58;J. HORCAJADA;CIELO DE MADRID;O. RODRIGUEZ;11
8;BELIDO;8;7;58;V. SANCHEZ (55);NORTENHA;T. MARTINS;3
9;HERRI IRRATIA;2;3;57,5;B. FAYOS;MADROÑOS;B. RAMA;9
10;DIAMOND FOR EVER;11;4;57;J. GROSJEAN;ADELAI;F. RODRIGUEZ;12
11;OLINA;4;4;57;J. E. JARCOVSKY;KINGS RACING;B. RAMA;7
12;ESQUIMO GREEN (FR);5;5;54;A. GOMEZ;BOADILLA DEL MONTE;B. RAMA;1
;;;;;;;;
5ª Carrera;;1200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;COMPTON PARK (GB);2;4;61,5;J. L. MARTINEZ;RACHAEL TEASDALE RACING;J. L EYRE;5
2;ALTERNATIVE(GB);6;7;59,5;O. ORTIZ DE URBINA;SANLUQUEÑA;J. CALDERON;9
3;BAHRAJ (USA);1;4;58;F. LYNCH;B.P. SAN MATEO;O. ANAYA;1
4;BARKING (IRE);3;3;58;I. LOPEZ (B.R.);B.P. SAN MATEO;O. ANAYA;10
5;BORKEN(FR);7;6;57,5;J. E. JARCOVSKY;NANINA;J. CALDERON;3
6;DOM JULIAN(IRE);8;5;57,5;J. HORCAJADA;CIELO DE MADRID;O. RODRIGUEZ;4
7;STORMY MONTLIOUX(FR);4;4;57,5;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;6
8;BLACK DIBEL (GB);9;3;57;M. S. SALOKANTO;RIISIO.S.L;J. C. MARTINEZ;7
9;PERFECTAMENTE(GB);10;5;56;B. FAYOS;CELSO MENDEZ;E. OLGADO;2
10;USAQUEN (FR);5;3;56;J. GROSJEAN;DUQUE DE ALBURQUERQUE;J. M. OSORIO;8
