03/08/2012;;;;;;;;
Hipódromo Costa de Sol;;;;;;;;
;;;;;;;;
;;;;;;;;
1ª CARRERA;;2100 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;ESGUES;2;3;59;J. GROSJEAN;LA SUECA;J. C. LOPERA;3
2;GALEGO;99;3;59;O.O DE URBINA;Y. GONZALEZ CARO;R. LOPEZ;5
3;LONGUEIRON;4;3;59;F. JIMENEZ A.;PEREIRA SAT;J. C. LOPERA;1
4;EL VIRGINIANO;5;3;56;V. JANACEK;DE LA ROCHA;B. RAMA;8
5;GARABULLO;99;3;56;SR. SARABIA D (56,5);RIO CUBAS;D. SARABIA;6
6;EXPATBET(GB);1;3;55;G. CARTER;BETVICTOR;P. HALEY;7
7;LUISIANNA;6;3;55;D. DELGADO (55,5);JOLAM;J. C. MARTINEZ;4
8;FOL MOON;3;3;53;M. SECCI;YANKEE RACING;B. RAMA;2
;;;;;;;;
2ª CARRERA;;1400 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;LAAZEM(IRE);1;5;62;SR. BENITEZ D.(60);HNOS. GARCIA Y VEGA;O. ANAYA;3
2;BAHRAJ (USA);2;5;60;I. LOPEZ;TRES MALAGUEÑAS;O. ANAYA;8
3;SOUTH AFRICAN GOLD(USA);3;5;60;V. JANACEK;CASTILLO DE CHARETA;B.RAMA;4
4;DUNEDAIN(GB);4;4;57;SR. SARABIA D.;RIO CUBAS;D. SARABIA;7
5;CALITXO;6;3;53;G. CARTER (53);M & K RACING;B. RAMA;2
6;DESEADO;7;3;51;N. GARCIA (51,5);SUREÑA;J. A. RODRIGUEZ;6
7;GANDARA(FR);5;3;51;J.M. SANCHEZ C. (49);MAURICIO DELCHER SANCHEZ;M. DELCHER S.;1
8;JUAN DANIEL;8;3;51;A. GOMEZ (51,5);JEREZANA;J. CALDERON;5
;;;;;;;;
3ª CARRERA;;1400 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;CHIEF KEY (GB);8;4;62;V. JANACEK;CANTER;M. AUGELLI;11
2;CANELA FINA;3;3;61;E. MELIAN (58,5);SOÑADOR;J. SALGUERO;7
3;SCARLATTI;6;3;61;J. GROSJEAN;Y. CORTIÑAL;J.A. RODRIGUEZ;5
4;LISSELAN NYMPH(USA);10;4;60;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;4
5;EL LOLO(IRE);9;6;59;F. JIMENEZ A.;EL LOBO;O. ANAYA;10
6;MORNING MUSE(IRE);7;3;58;G. CARTER;NORTENHA;T. MARTINS;1
7;MISS CORONITA;1;4;57;I.LOPEZ (B.AM);EL LOBO;O. ANAYA;2
8;SUPER NENA (IRE);5;4;57;N. GARCIA;AREVACOS;J. A. RODRIGUEZ;9
9;NAZARENO HEN(IRE);2;4;56;J.E.JARCOVSKY;DUO;J. SALGUERO;6
10;PERFECTAMENTE(GB);4;6;54;S. BERMEJO (52);JOLAM;J. C. MARTINEZ;3
11;FEU INDIEN(GB);11;11;50;J.M. SANCHEZ C. (49);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;8
;;;;;;;;
4ª CARRERA;;1800 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;CARA BLANCA(GB);3;4;59;I. LOPEZ;RACHAEL TEASDALE RACING;J. L. EYRE;9
2;COQUETA;7;4;59;J. GROSJEAN;COLISA;J. A. RODRIGUEZ;10
3;BOUQUETOT BELLE (USA);9;4;58;S. MARTIN;LISSELAN FARMS;A. R.ACOSTA;8
4;LA LLANURA(CAN);4;4;58;J. HORCAJADA;TIZIANO;M. DELCHER S.;6
5;MISSIN;2;6;58;V. JANACEK;KINGS RACING;B. RAMA;1
6;VODKA LEMON(GB);1;4;58;R.H. HUAYAS;MADELALINE;R. H. HUAYAS;3
7;HERRI IRRATIA;8;4;56;D. DELGADO;ADRIANA;B. RAMA;5
8;LISSELAN BEAUTY (USA);5;6;56;S. BERMEJO (52,5)(B.R);LISSELAN FARMS;A. R. ACOSTA;11
9;DIME QUE SI (IRE);6;3;54;O.O. DE URBINA (54,5);DI BENISICHI;J. LOPEZ;7
10;PIPPA SNUDGE(IRE);11;3;54;G. CARTER;SUNSHINE RACING;P. HALEY;4
11;VRAIVITA;10;3;54;J.M.SANCHEZ C.(51);MARISOL;R. LOPEZ;2
;;;;;;;;
5ª CARRERA;;1200 metros;ARENA;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.
1;COLORIN(IRE);5;5;58;C. FERNANDEZ (55);Y. CASAS;J. C. FERNANDEZ;6
2;SERGEI (IRE);4;4;58;E. MELIAN (55);SAN JOSE;J. A. RODRIGUEZ;3
3;TASHQEEL(GB);2;4;58;I. LOPEZ;SAN ACACIO;O. ANAYA;4
4;GALILEUS;3;3;56;SR. SARABIA D. (56,5);RIO CUBAS;D. SARABIA;8
5;VALLE(USA);1;4;56;O.O. DE URBINA;MALDON;M. DELCHER S.;2
6;CAMURAY;6;7;54;J. GROSJEAN;Y. CORTIÑAL;J. A. RODRIGUEZ;1
7;FACE THE FACT(SWE);99;10;54;F. JIMENEZ A (55,5);GABRIELLE VON ECKERMANN;O. ANAYA;9
8;THE BELONGER(USA);7;5;54;S. MARTIN;LISSELAN FARMS;A. R. ACOSTA;7
9;LISSELAN HOSTESS(IRE);99;4;53;S. BERMEJO (51)(B.R);LISSELAN FARMS;A. R. ACOSTA;5
